File Name,Average DPSR,Sample Daily Variance (unbiased estimator) [in %],Sample Daily Variance (maximum likelihood estimate) [in %],Historical Daily Volatility (unbiased estimator) [in %],Historical Daily Volatility (maximum likelihood estimate) [in %]
shib-usd-max.csv,0.023736524114126214,8.45294319830354,8.489581625706535,29.073945721734333,29.13688663139309
orca-usd-max.csv,0.017663717747576354,1.7463511465344022,1.7522424020947118,13.214957989091006,13.23722932525803
bnb-usd-max.csv,0.005620829987241731,1.550343334846324,1.5524629067914626,12.451278387564564,12.45978694356955
cake-usd-max.csv,0.007707555208654286,1.1378117575398674,1.1407893468173853,10.666825945612253,10.680774067535486
ray-usd-max.csv,0.0013816113430318725,0.9165693299480354,0.9129251968214184,9.57376273963396,9.554711909950077
matic-usd-max.csv,0.006210733844099356,0.854356433228896,0.8572697144594084,9.243140338807455,9.258886080190255
xlm-usd-max.csv,0.0019078262737782826,0.8532933897645898,0.853332181844047,9.237388103596112,9.23759807441332
AVAX-usd-max.csv,0.0061188814976547564,0.8297141591789322,0.831336199159522,9.10886468874652,9.117763975665975
sol-usd-max.csv,0.009202963729048864,0.7979275460796791,0.8049592929292644,8.932679027479265,8.971952367959075
srm-usd-max.csv,0.003560186305287306,0.7844092910546829,0.783865214906008,8.856688382542782,8.853616294520608
uni-usd-max.csv,0.005210878620835785,0.7812444753640416,0.7819869613798972,8.838803512716197,8.843002665270983
hnt-usd-max.csv,0.009363718802221898,0.7556097457638375,0.7629988188435171,8.69258158295818,8.734980359700398
doge-usd-max.csv,0.002116959110021501,0.7176001702143187,0.7177975003510523,8.471128438492233,8.472293080099698
atom-usd-max.csv,0.002578874102903585,0.6695457479503677,0.6695184123386879,8.182577515369884,8.18241047820682
luna-usd-max.csv,0.002706360748317435,0.6429013496678321,0.6429146594913613,8.018112930533169,8.018195928582447
dot-usd-max.csv,0.006257975906962111,0.6310252049457578,0.6334566660028622,7.943709492080873,7.958999095381669
algo-usd-max.csv,0.00013799823652024422,0.6166059834061695,0.6158824689534895,7.852426270944347,7.847817970324551
bch-usd-max.csv,-0.00013054600833744274,0.5886458416854392,0.5882648112939886,7.672325864335007,7.669842314506789
link-usd-max.csv,0.003335590454315408,0.5770590943554451,0.5777706967592268,7.5964405767138405,7.601122922037419
xrp-usd-max.csv,0.00176037512716198,0.5389902435910753,0.5391199918519157,7.34159549138384,7.3424790898709125
ada-usd-max.csv,0.0030118398179273024,0.5077066078265391,0.5082662195014561,7.125353379493111,7.129279202706653
eth-usd-max.csv,0.0031887526251457208,0.42134086491810735,0.42217149238821744,6.491077452304104,6.497472526977067
ltc-usd-max.csv,0.0012199615142503074,0.38532276692529943,0.3853470185608133,6.207437208102064,6.207632548410169
btc-usd-max.csv,0.001976671925801045,0.17483937362527943,0.17517356937495254,4.18137983954196,4.185374169353948
