snapped_at,price,market_cap,total_volume
2021-03-14 00:00:00 UTC,5.6455372046504184e-08,0.0,2720089.202097393
2021-03-15 00:00:00 UTC,5.6455372046504184e-08,0.0,2720089.202097393
2021-03-16 00:00:00 UTC,8.119351880242888e-08,0.0,2339290.5796463825
2021-03-17 00:00:00 UTC,1.842492162198189e-07,0.0,8974350.123504313
2021-03-18 00:00:00 UTC,1.2321494038763725e-07,0.0,5521929.501594115
2021-03-19 00:00:00 UTC,8.151482233490798e-08,0.0,2630781.412562907
2021-03-20 00:00:00 UTC,6.427901414578236e-08,0.0,1268111.2915082192
2021-03-21 00:00:00 UTC,8.930869067529177e-08,0.0,1373649.2715448933
2021-03-22 00:00:00 UTC,1.3099198939406085e-07,0.0,3865017.0040251394
2021-03-23 00:00:00 UTC,1.8720441246595079e-07,0.0,5983068.819216762
2021-03-24 00:00:00 UTC,4.022079230848862e-07,0.0,24440898.828519538
2021-03-25 00:00:00 UTC,2.948450391991366e-07,0.0,11875611.35345757
2021-03-26 00:00:00 UTC,3.7801401941053845e-07,0.0,7622287.369268983
2021-03-27 00:00:00 UTC,3.90884847085873e-07,0.0,5663482.758441205
2021-03-28 00:00:00 UTC,3.926186219545039e-07,0.0,5308943.388255636
2021-03-29 00:00:00 UTC,3.616719066197306e-07,0.0,4336423.355004362
2021-03-30 00:00:00 UTC,2.4677119805450444e-07,0.0,3454674.096620659
2021-03-31 00:00:00 UTC,3.582799190856083e-07,0.0,5304526.254537953
2021-04-01 00:00:00 UTC,2.981829591083139e-07,0.0,3014350.076858176
2021-04-02 00:00:00 UTC,3.784057162449586e-07,0.0,3838477.729656316
2021-04-03 00:00:00 UTC,6.502204819818596e-07,0.0,20408147.12515843
2021-04-04 00:00:00 UTC,1.540860767803508e-06,0.0,59285497.25175493
2021-04-05 00:00:00 UTC,1.2817769798999043e-06,0.0,48503475.981299914
2021-04-06 00:00:00 UTC,1.0032935070894971e-06,0.0,23085146.36711596
2021-04-07 00:00:00 UTC,1.017221267903186e-06,0.0,14077710.656949313
2021-04-08 00:00:00 UTC,8.43150731392669e-07,0.0,30981137.43115225
2021-04-09 00:00:00 UTC,8.738347053823084e-07,0.0,12799236.602286382
2021-04-10 00:00:00 UTC,7.426080325375303e-07,0.0,9981187.557400538
2021-04-11 00:00:00 UTC,6.427858583664498e-07,0.0,13120928.481584052
2021-04-12 00:00:00 UTC,8.247251102468133e-07,0.0,14960092.177029232
2021-04-13 00:00:00 UTC,7.244146104483079e-07,0.0,16351846.657288158
2021-04-14 00:00:00 UTC,6.752477262294494e-07,0.0,6011666.688214034
2021-04-15 00:00:00 UTC,6.855674143112377e-07,0.0,9753381.02491883
2021-04-16 00:00:00 UTC,8.743165678931091e-07,0.0,14660634.696041934
2021-04-17 00:00:00 UTC,1.2171849864554343e-06,0.0,36034010.68699957
2021-04-18 00:00:00 UTC,1.9419235373583785e-06,0.0,102360010.62454703
2021-04-19 00:00:00 UTC,2.533623504592805e-06,0.0,137200934.03740168
2021-04-20 00:00:00 UTC,5.73465193460585e-06,0.0,411047365.1683369
2021-04-21 00:00:00 UTC,7.075838279822005e-06,0.0,493028162.75797296
2021-04-22 00:00:00 UTC,5.766446890992435e-06,0.0,76220202.36977437
2021-04-23 00:00:00 UTC,3.542510673708302e-06,0.0,162350207.70364392
2021-04-24 00:00:00 UTC,6.08928944754937e-06,0.0,139233418.5369627
2021-04-25 00:00:00 UTC,6.129482821646571e-06,0.0,102977633.8412624
2021-04-26 00:00:00 UTC,5.766159550713819e-06,0.0,90820201.0384029
2021-04-27 00:00:00 UTC,5.128154891009634e-06,0.0,54835635.77471747
2021-04-28 00:00:00 UTC,4.729261368348194e-06,0.0,74819347.317391
2021-04-29 00:00:00 UTC,4.922995017262541e-06,0.0,44904253.91716615
2021-04-30 00:00:00 UTC,4.997425913280262e-06,0.0,46699369.14966017
2021-05-01 00:00:00 UTC,5.159543684087395e-06,0.0,44972871.737771764
2021-05-02 00:00:00 UTC,3.2833691850935015e-06,0.0,73734510.82027754
2021-05-03 00:00:00 UTC,3.889981365919343e-06,0.0,68144978.8476537
2021-05-04 00:00:00 UTC,4.344529272138479e-06,0.0,47382174.18351417
2021-05-05 00:00:00 UTC,4.055809844750214e-06,0.0,35195748.38956259
2021-05-06 00:00:00 UTC,4.686145350523895e-06,0.0,51127276.17657958
2021-05-07 00:00:00 UTC,7.551671284205627e-06,0.0,174885692.614369
2021-05-08 00:00:00 UTC,8.177863098032589e-06,0.0,178021765.31060037
2021-05-09 00:00:00 UTC,8.843443373723618e-06,0.0,152744443.83469692
2021-05-10 00:00:00 UTC,7.899694181255093e-06,0.0,123079293.34831993
2021-05-11 00:00:00 UTC,9.279721336223666e-06,5161272337.370698,210771986.5336139
2021-05-12 00:00:00 UTC,1.0671499790272868e-05,6264277475.963165,197543285.33790496
2021-05-13 00:00:00 UTC,8.82347536855052e-06,5268124898.220622,113329664.13276471
2021-05-14 00:00:00 UTC,8.659994401556511e-06,5041931295.207983,184988403.81949574
2021-05-15 00:00:00 UTC,9.173935959002932e-06,5368749254.483129,67787194.46755809
2021-05-16 00:00:00 UTC,9.051966927075275e-06,4573185582.160387,81871425.22022298
2021-05-17 00:00:00 UTC,7.987762211655594e-06,4614816753.130254,62556969.184240304
2021-05-18 00:00:00 UTC,7.5443248674295385e-06,4415118276.597577,66700893.686062515
2021-05-19 00:00:00 UTC,8.469741704860183e-06,4928442476.517969,30685370.091227565
2021-05-20 00:00:00 UTC,4.9145998040010944e-06,2924349032.272121,89849989.9907058
2021-05-21 00:00:00 UTC,5.993745680284139e-06,3510508366.1454353,56523302.37781636
2021-05-22 00:00:00 UTC,4.918458287978109e-06,2823840563.5108747,59323130.58124547
2021-05-23 00:00:00 UTC,4.725849578114246e-06,2763796610.71453,31235109.682550352
2021-05-24 00:00:00 UTC,3.4625197750655194e-06,2129805906.7357812,58528752.026207894
2021-05-25 00:00:00 UTC,4.67554358951398e-06,2734975002.743333,45337011.88258416
2021-05-26 00:00:00 UTC,4.599524550933799e-06,2680261545.908828,34843081.88986968
2021-05-27 00:00:00 UTC,5.172512354881015e-06,3015434312.36364,37867403.624880284
2021-05-28 00:00:00 UTC,4.757391328195188e-06,2773320968.962472,24082974.207257442
2021-05-29 00:00:00 UTC,4.18883854647721e-06,2441534064.8020234,31266514.551201172
2021-05-30 00:00:00 UTC,3.988122819022292e-06,2319436908.0350714,18467547.597967498
2021-05-31 00:00:00 UTC,4.0775227272699785e-06,2376551521.4950004,17286080.03800576
2021-06-01 00:00:00 UTC,4.166718951271046e-06,2430617447.841353,18807073.0926925
