snapped_at,price,market_cap,total_volume
2020-08-09 00:00:00 UTC,4447.390658814103,132824039.21957287,18326594.604225922
2020-08-10 00:00:00 UTC,4106.86147742551,122873620.58788335,12559000.518667888
2020-08-11 00:00:00 UTC,6330.479667494392,189941018.33178064,70382499.78843604
2020-08-12 00:00:00 UTC,5995.486917487749,180373623.98678675,35899512.72861595
2020-08-13 00:00:00 UTC,5810.733498428172,174150898.09916303,30940736.293257356
2020-08-14 00:00:00 UTC,5329.011232956575,159627059.18919334,37303997.847554505
2020-08-15 00:00:00 UTC,5014.231290831153,150146928.15426078,18075997.914605115
2020-08-16 00:00:00 UTC,5295.209090831003,157326688.5769334,29113253.04825769
2020-08-17 00:00:00 UTC,6650.413566309658,194363207.99457043,38623996.33338738
2020-08-18 00:00:00 UTC,8863.26271527658,266974326.00827655,73965450.65584199
2020-08-19 00:00:00 UTC,9681.352836727676,291004702.1550993,114873046.47320749
2020-08-20 00:00:00 UTC,12501.72897818399,376217792.6939968,93031732.68430768
2020-08-21 00:00:00 UTC,15120.262455212263,453193468.528042,177541533.11492872
2020-08-22 00:00:00 UTC,12190.003768604043,366726930.6374189,120004190.11496124
2020-08-23 00:00:00 UTC,14044.92462052158,414960780.07661843,85411303.24183309
2020-08-24 00:00:00 UTC,12452.203811985564,373403335.84753567,58609941.677798495
2020-08-25 00:00:00 UTC,14458.30674763866,432689839.05172706,67948448.29963556
2020-08-26 00:00:00 UTC,13490.224058482389,402932457.9552308,77272531.05236866
2020-08-27 00:00:00 UTC,15506.260384572266,464050626.3199156,102111018.31230333
2020-08-28 00:00:00 UTC,14173.47046841639,424805084.636695,84023276.9993834
2020-08-29 00:00:00 UTC,18953.535119958142,567363845.9947717,224663924.78959993
2020-08-30 00:00:00 UTC,27006.04624751229,810309725.0301003,549030462.6848361
2020-08-31 00:00:00 UTC,31909.648005328057,957650925.0632102,980566257.5994635
2020-09-01 00:00:00 UTC,35059.68029334105,1052672981.9315459,723016982.8053323
2020-09-02 00:00:00 UTC,31934.19433824931,969947902.6309767,577918940.2397996
2020-09-03 00:00:00 UTC,31814.888939650755,953095099.5304091,621038974.5176978
2020-09-04 00:00:00 UTC,29577.373430846397,883808977.7392486,522967570.40037143
2020-09-05 00:00:00 UTC,27494.139663664515,827540682.0411286,417609204.013613
2020-09-06 00:00:00 UTC,22122.49738607027,658546567.5669473,525080485.66933787
2020-09-07 00:00:00 UTC,24027.53566542955,718259420.9474828,390830330.1456167
2020-09-08 00:00:00 UTC,22843.028801594155,684943943.2233406,253609305.60170224
2020-09-09 00:00:00 UTC,22384.267711907516,671101484.9370757,217363098.45854887
2020-09-10 00:00:00 UTC,27823.4433113382,833298850.9988312,392409838.7280193
2020-09-11 00:00:00 UTC,33670.029133971664,995212706.8196737,563671589.2789654
2020-09-12 00:00:00 UTC,37822.68497270975,1129355883.9757464,476047951.37055606
2020-09-13 00:00:00 UTC,43337.7040319802,1298248546.3243217,679378798.2932298
2020-09-14 00:00:00 UTC,36727.67576854644,1093935333.3424954,643680603.7039937
2020-09-15 00:00:00 UTC,39549.516557579576,1180714836.1744218,823538105.1048338
2020-09-16 00:00:00 UTC,35914.101667320494,1076253987.5154867,682485839.9177438
2020-09-17 00:00:00 UTC,34717.515709288135,1041054592.9982511,749097153.3534782
2020-09-18 00:00:00 UTC,33018.051614666205,990342267.8047059,565320424.6630114
2020-09-19 00:00:00 UTC,33029.99570758582,991841418.7821102,552967758.2397293
2020-09-20 00:00:00 UTC,30843.04336065928,930153900.2751744,563943577.8943919
2020-09-21 00:00:00 UTC,27869.92838786227,841030117.7445372,515264178.53789586
2020-09-22 00:00:00 UTC,23983.160140743243,726538369.2882972,728712281.2846878
2020-09-23 00:00:00 UTC,24980.789496713107,749136821.434032,544744037.8871034
2020-09-24 00:00:00 UTC,21812.985648894337,659251618.2010062,343540993.6007571
2020-09-25 00:00:00 UTC,25136.003374626278,753245489.7342633,347642945.6024264
2020-09-26 00:00:00 UTC,26805.48828044668,805214245.282741,303719088.86360085
2020-09-27 00:00:00 UTC,31604.062358820684,942932874.319467,467500909.1976799
2020-09-28 00:00:00 UTC,30593.895120688598,915466480.2015519,545323492.9681497
2020-09-29 00:00:00 UTC,28513.36336386346,854127185.7887799,427052818.37595254
2020-09-30 00:00:00 UTC,25028.814567952013,751485619.2812469,743936207.7592701
2020-10-01 00:00:00 UTC,23788.970981151786,714590581.4182047,616306875.1449267
2020-10-02 00:00:00 UTC,22754.574104326348,679442115.7439853,768230845.3845489
2020-10-03 00:00:00 UTC,21086.94764069823,631917096.1047378,771539104.1260252
2020-10-04 00:00:00 UTC,18923.830225279227,565982559.2370872,477637911.3354144
2020-10-05 00:00:00 UTC,19149.696212170536,590304352.648317,770905790.839064
2020-10-06 00:00:00 UTC,19025.95891779978,572482592.8324924,552813975.2200539
2020-10-07 00:00:00 UTC,16699.658525113882,501965534.1290772,513616313.3186604
2020-10-08 00:00:00 UTC,14779.632851094122,443279792.2772892,635572691.9929807
2020-10-09 00:00:00 UTC,16616.81809135647,490999651.3770933,1108800391.53435
2020-10-10 00:00:00 UTC,18147.54072850288,543061429.8182037,811110059.8950623
