snapped_at,price,market_cap,total_volume
2021-09-08 00:00:00 UTC,12.606236418997522,669948673.6859534,366745749.5755601
2021-09-09 00:00:00 UTC,12.606236418997522,669948673.6859534,366745749.5755601
2021-09-10 00:00:00 UTC,13.059197640542404,727461004.4398682,1292132584.9325335
2021-09-11 00:00:00 UTC,10.327072981049518,570312348.8121277,463253756.50438654
2021-09-12 00:00:00 UTC,11.101321795071964,616896448.996004,302548913.8008561
2021-09-13 00:00:00 UTC,11.363058751340231,636560409.5343145,245355394.3876334
2021-09-14 00:00:00 UTC,10.491816507012445,496596626.9293471,272602963.0790609
2021-09-15 00:00:00 UTC,11.627309727881256,556255108.7273676,255638857.4893647
2021-09-16 00:00:00 UTC,11.534553347687787,555511004.6615056,211202292.75059322
2021-09-17 00:00:00 UTC,15.30300598172935,741644464.1033489,728443946.5868424
2021-09-18 00:00:00 UTC,16.126155223693043,782827115.3905612,742012026.2506411
2021-09-19 00:00:00 UTC,16.1252691119717,794582749.8903403,382672476.1408951
2021-09-20 00:00:00 UTC,14.265684052967353,707432493.2409077,297397420.60973203
2021-09-21 00:00:00 UTC,11.78152718577517,583835423.3125558,418284666.4894852
2021-09-22 00:00:00 UTC,12.31816780797312,610137885.9717051,403376373.201871
2021-09-23 00:00:00 UTC,14.660788111825461,739109036.2650236,349702442.3507893
2021-09-24 00:00:00 UTC,13.933715067434308,695649173.9944935,240261230.3892272
2021-09-25 00:00:00 UTC,12.061404676823862,603198561.2796447,298191045.7492771
2021-09-26 00:00:00 UTC,13.90352122727021,702878968.7894955,299022022.1513655
2021-09-27 00:00:00 UTC,19.17077151589828,971949348.3036388,1064946676.0816358
2021-09-28 00:00:00 UTC,20.61972774055433,1043995819.2649077,1059269189.5604646
2021-09-29 00:00:00 UTC,22.39666767429438,1143679270.5531294,998472252.6466198
2021-09-30 00:00:00 UTC,26.799139902388667,1372576923.690931,1139487891.691845
2021-10-01 00:00:00 UTC,23.607179111225424,1213259265.46215,831513748.2429986
2021-10-02 00:00:00 UTC,22.310582521374005,1142825482.2067156,788722467.7704371
2021-10-03 00:00:00 UTC,22.9070576568739,1179533016.6425643,589982517.8548917
2021-10-04 00:00:00 UTC,23.59187947544839,1216424037.8558598,467372106.9066763
2021-10-05 00:00:00 UTC,23.481296804424208,1214539782.2592084,823547461.9297271
2021-10-06 00:00:00 UTC,22.58306616652516,1176946768.8767111,453994035.4877296
2021-10-07 00:00:00 UTC,23.362230212286835,1266546415.3271115,598016298.2867005
2021-10-08 00:00:00 UTC,21.75326463872957,1212795655.136285,517150032.9819057
2021-10-09 00:00:00 UTC,21.96745495846167,1230096718.924886,351687588.018945
2021-10-10 00:00:00 UTC,21.77674453193442,1219464902.069782,262945761.53240415
2021-10-11 00:00:00 UTC,22.70319058283896,1276939054.6801734,638963427.5951443
2021-10-12 00:00:00 UTC,23.584741667942275,1325691382.750285,835546286.356249
2021-10-13 00:00:00 UTC,22.37549597454821,1263136902.6524026,460080110.2772977
2021-10-14 00:00:00 UTC,22.33225271240802,1260871063.0334387,572091473.2903849
2021-10-15 00:00:00 UTC,23.589003721418624,1319006522.576567,302882107.46648026
2021-10-16 00:00:00 UTC,22.72013710370596,1284279490.6720877,357640070.44405997
2021-10-17 00:00:00 UTC,22.447413621185895,1273159288.1361268,231225365.57449153
